"","month_id","year","studyHours","books","twitter","grades"
"1",1,2005,4,0,3.25530633417719,0
"2",1,2005,4,0,3.25530633417719,0
"3",1,2005,4,0,3.25530633417719,1
"4",1,2005,4,0,3.25530633417719,0
"5",1,2005,4,0,3.25530633417719,1
"6",1,2005,4,0,3.25530633417719,1
"7",2,2005,10,0,2.74009634407979,1
"8",2,2005,10,0,2.74009634407979,1
"9",2,2005,10,0,2.74009634407979,1
"10",2,2005,10,0,2.74009634407979,0
"11",2,2005,10,0,2.74009634407979,1
"12",2,2005,10,0,2.74009634407979,1
"13",3,2005,3,2,2.18389664223901,1
"14",3,2005,3,2,2.18389664223901,0
"15",3,2005,3,2,2.18389664223901,1
"16",3,2005,3,2,2.18389664223901,1
"17",3,2005,3,2,2.18389664223901,1
"18",3,2005,3,2,2.18389664223901,1
"19",4,2005,6,0,3.17587358789105,0
"20",4,2005,6,0,3.17587358789105,1
"21",4,2005,6,0,3.17587358789105,1
"22",4,2005,6,0,3.17587358789105,1
"23",4,2005,6,0,3.17587358789105,0
"24",4,2005,6,0,3.17587358789105,1
"25",5,2005,7,1,2.2010498813722,1
"26",5,2005,7,1,2.2010498813722,0
"27",5,2005,7,1,2.2010498813722,1
"28",5,2005,7,1,2.2010498813722,0
"29",5,2005,7,1,2.2010498813722,0
"30",5,2005,7,1,2.2010498813722,0
"31",6,2005,3,0,3.83555101201138,1
"32",6,2005,3,0,3.83555101201138,1
"33",6,2005,3,0,3.83555101201138,1
"34",6,2005,3,0,3.83555101201138,1
"35",6,2005,3,0,3.83555101201138,1
"36",6,2005,3,0,3.83555101201138,1
"37",7,2005,4,0,2.7068405288439,1
"38",7,2005,4,0,2.7068405288439,0
"39",7,2005,4,0,2.7068405288439,1
"40",7,2005,4,0,2.7068405288439,1
"41",7,2005,4,0,2.7068405288439,1
"42",7,2005,4,0,2.7068405288439,0
"43",8,2005,4,2,2.98009515995314,1
"44",8,2005,4,2,2.98009515995314,1
"45",8,2005,4,2,2.98009515995314,1
